"veiculo","ano","marca","categoria","sexo_condutor","idade_condutor","estado","valor_sinistro"
"Creta",2018,"Honda","Esportivo","Feminino",54,"PA",11090.8420681022
"Creta",2002,"Jeep","Perua","Feminino",46,"PA",92550.0170195475
"Creta",2013,"Volkswagen","Minivan","Feminino",28,"PE",122647.364203655
"Jeep Renegade",2004,"Ford","Minivan","Feminino",44,"CE",80279.1322219651
"Fox",2020,"Toyota","Minivan","Masculino",63,"RO",33485.8149927808
"Creta",2013,"Chevrolet","Esportivo","Masculino",26,"AP",16974.0191809367
"Jeep Renegade",2004,"Honda","Furgão","Feminino",40,"RO",67540.147266211
"Ka",2003,"Chevrolet","Esportivo","Feminino",44,"AP",93399.1152735194
"Fox",2002,"Hyundai","Furgão","Feminino",19,"AL",271848.347098567
"Corolla",2005,"Hyundai","Furgão","Masculino",51,"MT",13880.0660134526
"Ka",2010,"Toyota","Hatch","Masculino",40,"PE",127602.340246085
"Creta",2017,"Jeep","Esportivo","Masculino",48,"DF",38136.3906553015
"Prisma",2024,"Jeep","Picape","Feminino",35,"AP",189274.9686928
"HB20",2023,"Jeep","Esportivo","Feminino",25,"AC",12271.5687899385
"Civic",2010,"Toyota","Crossover","Feminino",41,"AL",79475.0594808022
"Creta",2012,"Jeep","Perua","Masculino",23,"ES",231056.575584062
"Fox",2022,"Honda","SUV","Masculino",25,"PE",30345.7067781826
"Jeep Renegade",2020,"Toyota","Crossover","Feminino",47,"AL",41702.2641211981
"Civic",2008,"Ford","Picape","Masculino",19,"SP",78010.7703228481
"Creta",2022,"Hyundai","Furgão","Masculino",44,"TO",49150.7260325132
"Onix",2021,"Hyundai","Hatch","Feminino",44,"PI",85037.6732221805
"HB20",2006,"Honda","Crossover","Feminino",31,"AP",81588.0849415902
"Corolla",2023,"Volkswagen","Picape","Feminino",48,"RN",61956.2480148859
"Prisma",2012,"Volkswagen","Furgão","Feminino",47,"RN",31342.9169784533
"Creta",2003,"Ford","Hatch","Feminino",24,"RN",72297.962581669
"Prisma",2001,"Toyota","Esportivo","Masculino",62,"PB",5498.07690433227
"Gol",2006,"Volkswagen","Crossover","Feminino",59,"MG",5424.2676186841
"Corolla",2024,"Jeep","Perua","Feminino",44,"GO",46590.8142149681
"Prisma",2022,"Honda","Sedan","Masculino",28,"DF",22240.213560313
"Civic",2024,"Ford","Picape","Masculino",40,"PE",15985.872436827
"Corolla",2006,"Jeep","Minivan","Feminino",19,"PA",52568.0036071222
"Fox",2018,"Hyundai","Esportivo","Feminino",39,"RS",50797.6318120956
"Prisma",2006,"Hyundai","Picape","Masculino",51,"CE",11439.0077993972
"Corolla",2007,"Jeep","Esportivo","Masculino",35,"SC",186894.416138413
"HB20",2022,"Hyundai","Minivan","Feminino",22,"SP",255580.421678675
"Prisma",2020,"Honda","Sedan","Masculino",41,"ES",93488.3975935169
"Prisma",2001,"Hyundai","SUV","Feminino",59,"TO",28432.321615587
"Fox",2011,"Ford","Esportivo","Masculino",27,"SE",179081.680043996
"Gol",2009,"Chevrolet","Minivan","Masculino",18,"PE",215861.486852216
"Jeep Renegade",2018,"Chevrolet","Minivan","Masculino",35,"PB",44743.1741026696
"Prisma",2013,"Honda","Crossover","Feminino",48,"AP",22325.8729584515
"Civic",2023,"Chevrolet","Minivan","Masculino",46,"AP",71191.0366358468
"Creta",2008,"Jeep","Minivan","Feminino",36,"ES",173694.592083083
"Corolla",2023,"Volkswagen","Furgão","Masculino",34,"MG",169067.698857165
"Ka",2008,"Volkswagen","Crossover","Masculino",27,"MA",8050.64393980429
"Onix",2013,"Toyota","Esportivo","Masculino",29,"AM",149273.940614844
"Fox",2009,"Toyota","SUV","Masculino",48,"RS",42813.4314730531
"Civic",2023,"Ford","SUV","Masculino",58,"RN",6853.19209040608
"Corolla",2015,"Jeep","Furgão","Masculino",47,"RS",67295.4642267199
"Jeep Renegade",2015,"Honda","Crossover","Feminino",57,"BA",35148.9807501668
"Prisma",2003,"Hyundai","Esportivo","Feminino",30,"AP",2534.42223370075
"Ka",2024,"Honda","Minivan","Feminino",23,"SP",10682.7317870222
"Creta",2003,"Honda","SUV","Masculino",61,"MG",30964.931409806
"Gol",2006,"Chevrolet","Perua","Feminino",44,"BA",30462.1408103965
"Corolla",2017,"Chevrolet","Sedan","Masculino",55,"PR",45928.3565070247
"Corolla",2018,"Volkswagen","Furgão","Feminino",20,"DF",99725.7544350112
"Jeep Renegade",2008,"Ford","Sedan","Feminino",36,"DF",57275.6126007531
"Civic",2002,"Chevrolet","Esportivo","Feminino",52,"PE",6621.16759205237
"Corolla",2014,"Jeep","Minivan","Feminino",35,"PA",120502.454143018
"Onix",2014,"Volkswagen","Minivan","Masculino",33,"AM",87026.7327663722
"Ka",2012,"Honda","Sedan","Feminino",20,"ES",161497.951002815
"Civic",2013,"Honda","Crossover","Feminino",27,"MS",28887.3213110492
"Creta",2019,"Toyota","Minivan","Feminino",34,"AC",132663.605621131
"Creta",2017,"Ford","Picape","Masculino",58,"ES",38442.7535296651
"Jeep Renegade",2000,"Jeep","Sedan","Feminino",20,"SP",298626.089028432
"Jeep Renegade",2015,"Toyota","Sedan","Masculino",36,"SC",80993.7836779049
"Corolla",2001,"Hyundai","Hatch","Feminino",58,"ES",46479.7742445022
"Fox",2018,"Volkswagen","Minivan","Masculino",18,"SP",131543.844964961
"Creta",2022,"Chevrolet","Perua","Masculino",24,"AM",86463.6295189848
"Jeep Renegade",2003,"Hyundai","Crossover","Feminino",43,"PA",87237.3028015718
"Gol",2001,"Chevrolet","Esportivo","Feminino",24,"MT",292347.665486368
"Civic",2020,"Chevrolet","SUV","Masculino",57,"BA",6093.52355326992
"HB20",2010,"Toyota","Crossover","Masculino",39,"BA",19140.5181151116
"Jeep Renegade",2019,"Hyundai","Hatch","Masculino",54,"BA",2183.19610217586
"Ka",2002,"Jeep","Crossover","Feminino",22,"PI",140330.456599826
"Fox",2004,"Toyota","Picape","Masculino",37,"AP",115099.595899484
"Civic",2000,"Chevrolet","SUV","Masculino",41,"SP",29378.2390511129
"Prisma",2024,"Honda","Crossover","Feminino",20,"SC",192224.521913845
"Jeep Renegade",2018,"Honda","Perua","Masculino",20,"MG",148105.835472839
"Creta",2006,"Chevrolet","SUV","Masculino",50,"AM",33728.0859101098
"Civic",2009,"Toyota","Minivan","Feminino",38,"AL",179683.726983401
"Creta",2001,"Ford","Sedan","Feminino",30,"RR",151308.717541932
"Jeep Renegade",2000,"Ford","Hatch","Masculino",19,"RR",53376.0747163324
"Prisma",2000,"Hyundai","Minivan","Feminino",59,"MS",48953.6851377226
"Corolla",2004,"Honda","Hatch","Feminino",58,"GO",38175.2687080996
"Civic",2004,"Jeep","Hatch","Feminino",25,"RS",138542.525103106
"Civic",2008,"Ford","Perua","Masculino",46,"AP",19552.7827418642
"Civic",2017,"Volkswagen","Minivan","Feminino",55,"PI",45659.3906141818
"Ka",2007,"Chevrolet","Crossover","Masculino",48,"MA",7913.83752205875
"Creta",2000,"Toyota","Minivan","Masculino",49,"MA",18725.0092615839
"Fox",2004,"Chevrolet","Picape","Feminino",62,"RS",12873.3759263763
"Gol",2004,"Ford","Minivan","Masculino",28,"PR",116969.093059655
"Jeep Renegade",2017,"Ford","Esportivo","Feminino",18,"SE",108632.925028587
"Jeep Renegade",2020,"Volkswagen","Picape","Feminino",32,"GO",130781.395169231
"Gol",2000,"Ford","Esportivo","Masculino",39,"DF",64062.2668454889
"Jeep Renegade",2008,"Jeep","Hatch","Masculino",30,"PB",80752.8499075444
"Gol",2016,"Ford","Esportivo","Feminino",48,"RJ",14325.2682660939
"Jeep Renegade",2018,"Honda","Furgão","Feminino",52,"ES",605.301093147136
"Ka",2008,"Honda","Esportivo","Masculino",27,"SE",71794.4818454096
"Creta",2008,"Chevrolet","SUV","Feminino",53,"BA",27358.2122997846
"Ka",2013,"Toyota","Picape","Masculino",51,"AC",10202.8730281163
"Jeep Renegade",2021,"Ford","Furgão","Masculino",65,"SC",38426.7887960887
"Civic",2000,"Ford","Minivan","Feminino",53,"CE",25604.5214283746
"Prisma",2007,"Hyundai","Furgão","Feminino",21,"MS",278212.082378031
"Fox",2016,"Hyundai","Crossover","Masculino",55,"PE",17383.7333038915
"Onix",2004,"Honda","SUV","Feminino",64,"SP",11261.567311571
"Gol",2012,"Toyota","Minivan","Masculino",65,"PE",3329.86071505584
"Ka",2018,"Chevrolet","Minivan","Feminino",49,"AP",21218.0402313825
"Civic",2001,"Hyundai","Hatch","Feminino",58,"AL",48125.7771593984
"Prisma",2005,"Honda","Furgão","Masculino",57,"MS",2742.27408550214
"HB20",2023,"Chevrolet","Crossover","Feminino",39,"TO",79838.5573423933
"Civic",2014,"Honda","Minivan","Masculino",42,"DF",34262.6870679902
"Gol",2008,"Chevrolet","Crossover","Feminino",64,"PE",44689.013995789
"Onix",2017,"Chevrolet","Minivan","Masculino",58,"SC",11376.8123523798
"Prisma",2013,"Honda","Minivan","Masculino",22,"RN",294103.213366494
"Jeep Renegade",2020,"Honda","Minivan","Feminino",46,"RS",17150.7982267765
"Gol",2022,"Jeep","Picape","Masculino",44,"MT",56032.0426475257
"Ka",2018,"Jeep","Esportivo","Feminino",55,"GO",9022.78540253174
"Ka",2000,"Hyundai","Sedan","Masculino",49,"MT",75223.3152439585
"Civic",2010,"Hyundai","Sedan","Feminino",41,"DF",11546.7180923792
"Corolla",2006,"Ford","SUV","Masculino",62,"AL",21566.9360367814
"Creta",2008,"Chevrolet","Minivan","Feminino",52,"AL",11966.1715207621
"Civic",2006,"Volkswagen","Picape","Masculino",63,"AM",32543.0036044447
"Ka",2010,"Toyota","Minivan","Feminino",48,"DF",50906.0488005634
"Onix",2015,"Jeep","Picape","Feminino",51,"CE",22714.0564813977
"Jeep Renegade",2004,"Jeep","Esportivo","Masculino",39,"RO",160361.43078641
"Fox",2004,"Chevrolet","Minivan","Masculino",34,"DF",66082.9217830673
"Creta",2012,"Jeep","Minivan","Masculino",19,"BA",126915.207682201
"Civic",2017,"Chevrolet","Furgão","Masculino",46,"AL",13876.0923900176
"Gol",2014,"Honda","Esportivo","Masculino",46,"PB",49331.0021828627
"Ka",2001,"Honda","Furgão","Masculino",57,"GO",4085.17840353306
"Ka",2015,"Honda","Hatch","Feminino",31,"MG",130438.116903603
"Corolla",2018,"Toyota","Hatch","Masculino",19,"RO",55678.1358134933
"Ka",2022,"Toyota","Sedan","Masculino",29,"PI",114106.853509601
"Creta",2009,"Toyota","SUV","Feminino",43,"RO",82693.6371792806
"Prisma",2003,"Chevrolet","Crossover","Masculino",56,"MT",45993.7993964413
"Onix",2024,"Hyundai","Esportivo","Masculino",64,"RO",27633.3905895008
"Gol",2009,"Ford","Sedan","Masculino",49,"RJ",75107.8359517502
"Gol",2006,"Hyundai","SUV","Masculino",64,"MS",29614.2012782861
"Onix",2015,"Chevrolet","Furgão","Feminino",52,"BA",14557.6364337001
"Gol",2015,"Hyundai","Minivan","Feminino",50,"PB",3824.9745199224
"Onix",2011,"Toyota","SUV","Feminino",55,"AM",30122.6284198463
"Corolla",2016,"Honda","Hatch","Feminino",56,"ES",41281.4845947782
"Gol",2016,"Toyota","Minivan","Feminino",65,"PB",1452.35184049234
"HB20",2003,"Chevrolet","Perua","Feminino",39,"GO",170457.789106225
"Onix",2012,"Jeep","Minivan","Feminino",21,"RJ",272040.428907867
"Onix",2023,"Toyota","Crossover","Feminino",33,"MS",143043.933551735
"Ka",2014,"Honda","Perua","Masculino",45,"RN",28213.6421204545
"Civic",2007,"Jeep","Furgão","Masculino",33,"PA",107101.471001701
"Jeep Renegade",2018,"Jeep","Perua","Masculino",41,"PR",77934.1750786873
"Fox",2016,"Honda","Hatch","Masculino",56,"MS",31213.5539252311
"Jeep Renegade",2007,"Toyota","Furgão","Feminino",63,"MA",23879.2200727155
"Jeep Renegade",2013,"Honda","Furgão","Feminino",30,"PB",180287.551196595
"Fox",2018,"Jeep","Esportivo","Feminino",53,"GO",35561.1295567825
"HB20",2019,"Jeep","Esportivo","Masculino",50,"SC",71980.1025905181
"Prisma",2003,"Chevrolet","Sedan","Masculino",38,"MA",166938.564519212
"HB20",2012,"Ford","Furgão","Feminino",50,"RO",52161.900849524
"Creta",2002,"Honda","Minivan","Feminino",54,"ES",27267.0968100661
"HB20",2017,"Volkswagen","Esportivo","Masculino",23,"CE",129370.142970909
"Onix",2024,"Volkswagen","Crossover","Feminino",58,"MG",10408.6456245743
"Creta",2003,"Hyundai","Hatch","Feminino",18,"AM",206761.194737116
"HB20",2009,"Hyundai","Minivan","Feminino",58,"CE",29448.0652254308
"Civic",2024,"Volkswagen","Perua","Feminino",36,"RR",77662.9719192861
"Creta",2005,"Ford","Minivan","Feminino",20,"MT",260527.438871143
"Civic",2002,"Honda","Crossover","Masculino",50,"AC",26396.3006982813
"Prisma",2001,"Volkswagen","Picape","Feminino",64,"SC",17926.4944504714
"Onix",2001,"Honda","Sedan","Masculino",25,"TO",149358.014215808
"Fox",2013,"Honda","Minivan","Masculino",34,"PA",109645.850174781
"Jeep Renegade",2007,"Jeep","Sedan","Masculino",39,"BA",43994.2842405988
"Civic",2011,"Toyota","Minivan","Masculino",63,"AL",33909.3349566916
"Creta",2022,"Ford","Furgão","Feminino",58,"PA",41835.9601957723
"Ka",2011,"Toyota","Picape","Masculino",34,"BA",116230.018143728
"Gol",2009,"Volkswagen","Hatch","Feminino",44,"SP",58462.5427171821
"HB20",2017,"Hyundai","Crossover","Masculino",55,"GO",26857.7455156716
"Onix",2014,"Honda","Perua","Feminino",42,"AM",7652.11184048094
"Ka",2015,"Hyundai","Esportivo","Masculino",51,"AM",46071.6376180993
"Gol",2009,"Jeep","Crossover","Masculino",44,"MS",11811.6524902638
"HB20",2020,"Hyundai","Sedan","Feminino",49,"CE",76683.5752517916
"Civic",2016,"Ford","Sedan","Masculino",52,"PB",11614.5044296281
"Onix",2006,"Honda","Picape","Feminino",24,"TO",78335.7378910761
"Fox",2011,"Hyundai","Minivan","Feminino",37,"PR",4057.92681493331
"HB20",2017,"Jeep","Furgão","Masculino",21,"SE",153345.896183699
"HB20",2018,"Volkswagen","Sedan","Masculino",52,"RS",39528.1761443475
"Civic",2002,"Toyota","Picape","Masculino",50,"MT",16741.5657943115
"Onix",2006,"Chevrolet","Esportivo","Masculino",32,"ES",34285.1583283627
"Gol",2014,"Chevrolet","Picape","Feminino",48,"RN",48905.606481526
"Fox",2017,"Chevrolet","Sedan","Feminino",37,"RS",151911.394226947
"Jeep Renegade",2016,"Hyundai","Sedan","Masculino",48,"RO",26709.6844653599
"Corolla",2022,"Volkswagen","Perua","Feminino",48,"RO",42372.086667968
"Jeep Renegade",2018,"Honda","Crossover","Masculino",44,"RJ",42029.1794053046
"Jeep Renegade",2011,"Volkswagen","Esportivo","Masculino",39,"BA",181840.39799897
"Prisma",2001,"Volkswagen","Esportivo","Masculino",50,"RR",29341.2692203652
"Fox",2008,"Hyundai","Sedan","Feminino",52,"AC",41591.3302581292
"Prisma",2008,"Chevrolet","Minivan","Feminino",20,"RO",235625.369892153
"Prisma",2021,"Toyota","Furgão","Feminino",43,"SP",24138.1275295047
"Civic",2022,"Jeep","Sedan","Feminino",24,"PA",47387.8653496038
"Corolla",2013,"Jeep","Picape","Masculino",62,"RJ",15915.2633114252
"Creta",2024,"Volkswagen","Crossover","Feminino",57,"RJ",44005.9588176664
"Jeep Renegade",2007,"Volkswagen","Minivan","Masculino",29,"AL",146885.673025786
"Gol",2007,"Volkswagen","Furgão","Feminino",34,"SC",47318.2652307907
"Onix",2009,"Hyundai","Minivan","Masculino",41,"MA",89279.7728555975
"Corolla",2023,"Volkswagen","Esportivo","Masculino",27,"RJ",71061.9141303003
"HB20",2002,"Toyota","Perua","Masculino",54,"SP",34242.2148419078
"Jeep Renegade",2015,"Chevrolet","Crossover","Feminino",44,"PA",72152.0306187216
"Creta",2019,"Toyota","Crossover","Feminino",49,"AM",68416.6418829933
"Gol",2006,"Ford","Crossover","Feminino",50,"ES",61102.0386751974
"Onix",2000,"Toyota","Hatch","Masculino",62,"AP",5882.95724827331
"HB20",2012,"Chevrolet","Picape","Masculino",62,"RR",9740.6652366044
"HB20",2021,"Jeep","SUV","Feminino",24,"ES",214877.021237346
"Fox",2009,"Chevrolet","SUV","Masculino",19,"RJ",10054.1270097485
"Jeep Renegade",2018,"Ford","SUV","Masculino",63,"AC",3859.49075550307
"Ka",2022,"Jeep","Minivan","Masculino",48,"PE",80850.5367486272
"Prisma",2013,"Hyundai","SUV","Masculino",23,"PI",45751.0546988575
"Onix",2001,"Honda","SUV","Feminino",40,"SE",84255.2825956838
"Gol",2004,"Jeep","Hatch","Feminino",47,"RO",15534.2853321228
"Gol",2001,"Jeep","Perua","Masculino",32,"PI",80838.370328513
"Ka",2016,"Toyota","Picape","Feminino",21,"ES",87962.1314393124
"Onix",2012,"Toyota","Hatch","Feminino",52,"SE",26453.4601189429
"Onix",2001,"Jeep","Sedan","Feminino",32,"RN",50933.082309342
"HB20",2024,"Volkswagen","Furgão","Masculino",41,"SC",13512.5678692479
"Ka",2010,"Toyota","Picape","Feminino",34,"RJ",149599.098536395
"Fox",2012,"Chevrolet","Picape","Feminino",52,"PR",32675.8628412383
"Jeep Renegade",2024,"Volkswagen","Picape","Feminino",61,"PB",31169.1578095546
"HB20",2008,"Jeep","Crossover","Feminino",26,"PI",107133.047880535
"HB20",2019,"Ford","Esportivo","Masculino",53,"MT",33587.958932831
"Gol",2007,"Honda","Picape","Masculino",35,"MS",81725.1423967537
"Corolla",2018,"Ford","Esportivo","Masculino",25,"AM",166790.14232636
"Gol",2015,"Hyundai","Minivan","Masculino",19,"CE",226582.971814647
"Prisma",2019,"Jeep","Furgão","Masculino",39,"AC",186548.865181138
"Corolla",2019,"Hyundai","Picape","Feminino",41,"AL",10428.5841528792
"Jeep Renegade",2012,"Hyundai","Minivan","Masculino",40,"PI",96682.8470149077
"Jeep Renegade",2017,"Honda","Esportivo","Masculino",47,"BA",29803.3193080686
"Corolla",2001,"Toyota","Picape","Masculino",39,"AC",93623.0864337645
"Creta",2003,"Chevrolet","Hatch","Masculino",46,"AC",86209.9721119273
"Onix",2015,"Hyundai","Picape","Masculino",44,"RO",94514.812336117
"Gol",2003,"Volkswagen","Perua","Masculino",51,"PI",32555.247162492
"Prisma",2017,"Jeep","Esportivo","Feminino",38,"SP",28741.5876966203
"Civic",2018,"Ford","Crossover","Feminino",56,"PI",48930.0270517124
"Ka",2015,"Chevrolet","Esportivo","Feminino",63,"AL",37617.6151526626
"Corolla",2017,"Volkswagen","Furgão","Masculino",23,"SE",103499.727405491
"Onix",2004,"Jeep","Sedan","Masculino",59,"DF",649.31755347643
"Ka",2007,"Honda","Sedan","Masculino",61,"ES",4437.65176325105
"Onix",2011,"Hyundai","Picape","Masculino",49,"AM",48545.6002717139
"Fox",2021,"Toyota","Minivan","Feminino",52,"SC",32763.2265830413
"Jeep Renegade",2013,"Jeep","Esportivo","Masculino",33,"SC",45740.5703051714
"Jeep Renegade",2010,"Honda","Hatch","Feminino",29,"MA",191144.905800768
"Civic",2008,"Ford","Crossover","Feminino",53,"BA",1080.80522285309
"Creta",2005,"Volkswagen","Crossover","Feminino",53,"PI",470.75102517847
"Fox",2013,"Ford","Sedan","Masculino",18,"MS",129681.665176037
"HB20",2011,"Volkswagen","Minivan","Masculino",21,"PB",127965.246132785
"Corolla",2015,"Jeep","Esportivo","Feminino",54,"AM",2923.50332748611
"Creta",2020,"Toyota","Sedan","Masculino",23,"PE",49108.0702013802
"Prisma",2019,"Ford","Picape","Masculino",40,"SE",65522.5462042727
"Corolla",2013,"Hyundai","Esportivo","Masculino",63,"PE",4071.27776890993
"HB20",2004,"Hyundai","Esportivo","Masculino",46,"RN",12915.8678787993
"Corolla",2011,"Toyota","Sedan","Masculino",19,"PR",285625.434710621
"Fox",2000,"Hyundai","Crossover","Feminino",31,"PE",120529.309650138
"Prisma",2024,"Volkswagen","Crossover","Masculino",30,"SC",170478.594656941
"Creta",2000,"Toyota","Picape","Masculino",41,"MT",63913.7155461824
"Jeep Renegade",2009,"Chevrolet","Hatch","Masculino",54,"AC",19374.757831241
"Corolla",2017,"Toyota","Crossover","Masculino",61,"PB",19283.3083364647
"Prisma",2000,"Chevrolet","Minivan","Masculino",57,"MG",49556.2637504656
